Episode 476 finished after 107 timesteps, total reward: 107.0
Episode 477 finished after 105 timesteps, total reward: 105.0
Episode 478 finished after 100 timesteps, total reward: 100.0
Episode 479 finished after 108 timesteps, total reward: 108.0
Episode 480 finished after 113 timesteps, total reward: 113.0
Episode 481 finished after 103 timesteps, total reward: 103.0
Episode 482 finished after 115 timesteps, total reward: 115.0
Episode 483 finished after 100 timesteps, total reward: 100.0
Episode 484 finished after 113 timesteps, total reward: 113.0
Episode 485 finished after 125 timesteps, total reward: 125.0
Episode 486 finished after 130 timesteps, total reward: 130.0
Episode 487 finished after 113 timesteps, total reward: 113.0
Episode 488 finished after 110 timesteps, total reward: 110.0
Episode 489 finished after 63 timesteps, total reward: 63.0
Episode 490 finished after 109 timesteps, total reward: 109.0
Episode 491 finished after 118 timesteps, total reward: 118.0
Episode 492 finished after 112 timesteps, total reward: 112.0
Episode 493 finished after 119 timesteps, total reward: 119.0
Episode 494 finished after 110 timesteps, total reward: 110.0
Episode 495 finished after 117 timesteps, total reward: 117.0
Episode 496 finished after 119 timesteps, total reward: 119.0
Episode 497 finished after 133 timesteps, total reward: 133.0
Episode 498 finished after 129 timesteps, total reward: 129.0
Episode 499 finished after 117 timesteps, total reward: 117.0
Training completed.
